PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,FamilySize,Title
136,0,2,male,23.0,0,0,15.0458,Unknown,C,1,Mr
137,1,1,female,19.0,0,2,26.2833,D47,S,3,Miss
138,0,1,male,37.0,1,0,53.1,C123,S,2,Mr
139,0,3,male,16.0,0,0,9.2167,Unknown,S,1,Mr
140,0,1,male,24.0,0,0,79.2,B86,C,1,Mr
141,0,3,female,28.0,0,2,15.2458,Unknown,C,3,Mrs
142,1,3,female,22.0,0,0,7.75,Unknown,S,1,Miss
143,1,3,female,24.0,1,0,15.85,Unknown,S,2,Mrs
144,0,3,male,19.0,0,0,6.75,Unknown,Q,1,Mr
145,0,2,male,18.0,0,0,11.5,Unknown,S,1,Mr
146,0,2,male,19.0,1,1,36.75,Unknown,S,3,Mr
147,1,3,male,27.0,0,0,7.7958,Unknown,S,1,Mr
148,0,3,female,9.0,2,2,34.375,Unknown,S,5,Miss
149,0,2,male,36.5,0,2,26.0,F2,S,3,Mr
150,0,2,male,42.0,0,0,13.0,Unknown,S,1,Officer
151,0,2,male,51.0,0,0,12.525,Unknown,S,1,Officer
152,1,1,female,22.0,1,0,66.6,C2,S,2,Mrs
153,0,3,male,55.5,0,0,8.05,Unknown,S,1,Mr
154,0,3,male,40.5,0,2,14.5,Unknown,S,3,Mr
155,0,3,male,28.0,0,0,7.3125,Unknown,S,1,Mr
156,0,1,male,51.0,0,1,61.3792,Unknown,C,2,Mr
157,1,3,female,16.0,0,0,7.7333,Unknown,Q,1,Miss
158,0,3,male,30.0,0,0,8.05,Unknown,S,1,Mr
159,0,3,male,28.0,0,0,8.6625,Unknown,S,1,Mr
160,0,3,male,28.0,8,2,69.55,Unknown,S,11,Master
161,0,3,male,44.0,0,1,16.1,Unknown,S,2,Mr
162,1,2,female,40.0,0,0,15.75,Unknown,S,1,Mrs
163,0,3,male,26.0,0,0,7.775,Unknown,S,1,Mr
164,0,3,male,17.0,0,0,8.6625,Unknown,S,1,Mr
165,0,3,male,1.0,4,1,39.6875,Unknown,S,6,Master
166,1,3,male,9.0,0,2,20.525,Unknown,S,3,Master
167,1,1,female,28.0,0,1,55.0,E33,S,2,Mrs
168,0,3,female,45.0,1,4,27.9,Unknown,S,6,Mrs
169,0,1,male,28.0,0,0,25.925,Unknown,S,1,Mr
170,0,3,male,28.0,0,0,56.4958,Unknown,S,1,Mr
171,0,1,male,61.0,0,0,33.5,B19,S,1,Mr
172,0,3,male,4.0,4,1,29.125,Unknown,Q,6,Master
173,1,3,female,1.0,1,1,11.1333,Unknown,S,3,Miss
174,0,3,male,21.0,0,0,7.925,Unknown,S,1,Mr
175,0,1,male,56.0,0,0,30.6958,A7,C,1,Mr
176,0,3,male,18.0,1,1,7.8542,Unknown,S,3,Mr
177,0,3,male,28.0,3,1,25.4667,Unknown,S,5,Master
178,0,1,female,50.0,0,0,28.7125,C49,C,1,Miss
179,0,2,male,30.0,0,0,13.0,Unknown,S,1,Mr
180,0,3,male,36.0,0,0,0.0,Unknown,S,1,Mr
181,0,3,female,28.0,8,2,69.55,Unknown,S,11,Miss
182,0,2,male,28.0,0,0,15.05,Unknown,C,1,Mr
183,0,3,male,9.0,4,2,31.3875,Unknown,S,7,Master
184,1,2,male,1.0,2,1,39.0,F4,S,4,Master
185,1,3,female,4.0,0,2,22.025,Unknown,S,3,Miss
186,0,1,male,28.0,0,0,50.0,A32,S,1,Mr
187,1,3,female,28.0,1,0,15.5,Unknown,Q,2,Mrs
188,1,1,male,45.0,0,0,26.55,Unknown,S,1,Mr
189,0,3,male,40.0,1,1,15.5,Unknown,Q,3,Mr
190,0,3,male,36.0,0,0,7.8958,Unknown,S,1,Mr
191,1,2,female,32.0,0,0,13.0,Unknown,S,1,Mrs
192,0,2,male,19.0,0,0,13.0,Unknown,S,1,Mr
193,1,3,female,19.0,1,0,7.8542,Unknown,S,2,Miss
194,1,2,male,3.0,1,1,26.0,F2,S,3,Master
195,1,1,female,44.0,0,0,27.7208,B4,C,1,Mrs
196,1,1,female,58.0,0,0,146.5208,B80,C,1,Miss
197,0,3,male,28.0,0,0,7.75,Unknown,Q,1,Mr
198,0,3,male,42.0,0,1,8.4042,Unknown,S,2,Mr
199,1,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
200,0,2,female,24.0,0,0,13.0,Unknown,S,1,Miss
201,0,3,male,28.0,0,0,9.5,Unknown,S,1,Mr
202,0,3,male,28.0,8,2,69.55,Unknown,S,11,Mr
203,0,3,male,34.0,0,0,6.4958,Unknown,S,1,Mr
204,0,3,male,45.5,0,0,7.225,Unknown,C,1,Mr
205,1,3,male,18.0,0,0,8.05,Unknown,S,1,Mr
206,0,3,female,2.0,0,1,10.4625,G6,S,2,Miss
207,0,3,male,32.0,1,0,15.85,Unknown,S,2,Mr
208,1,3,male,26.0,0,0,18.7875,Unknown,C,1,Mr
209,1,3,female,16.0,0,0,7.75,Unknown,Q,1,Miss
210,1,1,male,40.0,0,0,31.0,A31,C,1,Mr
211,0,3,male,24.0,0,0,7.05,Unknown,S,1,Mr
212,1,2,female,35.0,0,0,21.0,Unknown,S,1,Miss
213,0,3,male,22.0,0,0,7.25,Unknown,S,1,Mr
214,0,2,male,30.0,0,0,13.0,Unknown,S,1,Mr
215,0,3,male,28.0,1,0,7.75,Unknown,Q,2,Mr
216,1,1,female,31.0,1,0,113.275,D36,C,2,Miss
217,1,3,female,27.0,0,0,7.925,Unknown,S,1,Miss
218,0,2,male,42.0,1,0,27.0,Unknown,S,2,Mr
219,1,1,female,32.0,0,0,76.2917,D15,C,1,Miss
220,0,2,male,30.0,0,0,10.5,Unknown,S,1,Mr
221,1,3,male,16.0,0,0,8.05,Unknown,S,1,Mr
222,0,2,male,27.0,0,0,13.0,Unknown,S,1,Mr
223,0,3,male,51.0,0,0,8.05,Unknown,S,1,Mr
224,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
225,1,1,male,38.0,1,0,90.0,C93,S,2,Mr
226,0,3,male,22.0,0,0,9.35,Unknown,S,1,Mr
227,1,2,male,19.0,0,0,10.5,Unknown,S,1,Mr
228,0,3,male,20.5,0,0,7.25,Unknown,S,1,Mr
229,0,2,male,18.0,0,0,13.0,Unknown,S,1,Mr
230,0,3,female,28.0,3,1,25.4667,Unknown,S,5,Miss
231,1,1,female,35.0,1,0,83.475,C83,S,2,Mrs
232,0,3,male,29.0,0,0,7.775,Unknown,S,1,Mr
233,0,2,male,59.0,0,0,13.5,Unknown,S,1,Mr
234,1,3,female,5.0,4,2,31.3875,Unknown,S,7,Miss
235,0,2,male,24.0,0,0,10.5,Unknown,S,1,Mr
236,0,3,female,28.0,0,0,7.55,Unknown,S,1,Miss
237,0,2,male,44.0,1,0,26.0,Unknown,S,2,Mr
238,1,2,female,8.0,0,2,26.25,Unknown,S,3,Miss
239,0,2,male,19.0,0,0,10.5,Unknown,S,1,Mr
240,0,2,male,33.0,0,0,12.275,Unknown,S,1,Mr
241,0,3,female,28.0,1,0,14.4542,Unknown,C,2,Miss
242,1,3,female,28.0,1,0,15.5,Unknown,Q,2,Miss
243,0,2,male,29.0,0,0,10.5,Unknown,S,1,Mr
244,0,3,male,22.0,0,0,7.125,Unknown,S,1,Mr
245,0,3,male,30.0,0,0,7.225,Unknown,C,1,Mr
246,0,1,male,44.0,2,0,90.0,C78,Q,3,Officer
247,0,3,female,25.0,0,0,7.775,Unknown,S,1,Miss
248,1,2,female,24.0,0,2,14.5,Unknown,S,3,Mrs
249,1,1,male,37.0,1,1,52.5542,D35,S,3,Mr
250,0,2,male,54.0,1,0,26.0,Unknown,S,2,Officer
251,0,3,male,28.0,0,0,7.25,Unknown,S,1,Mr
252,0,3,female,29.0,1,1,10.4625,G6,S,3,Mrs
253,0,1,male,62.0,0,0,26.55,C87,S,1,Mr
254,0,3,male,30.0,1,0,16.1,Unknown,S,2,Mr
255,0,3,female,41.0,0,2,20.2125,Unknown,S,3,Mrs
256,1,3,female,29.0,0,2,15.2458,Unknown,C,3,Mrs
257,1,1,female,28.0,0,0,79.2,Unknown,C,1,Mrs
258,1,1,female,30.0,0,0,86.5,B77,S,1,Miss
259,1,1,female,35.0,0,0,512.3292,Unknown,C,1,Miss
260,1,2,female,50.0,0,1,26.0,Unknown,S,2,Mrs
261,0,3,male,28.0,0,0,7.75,Unknown,Q,1,Mr
262,1,3,male,3.0,4,2,31.3875,Unknown,S,7,Master
263,0,1,male,52.0,1,1,79.65,E67,S,3,Mr
264,0,1,male,40.0,0,0,0.0,B94,S,1,Mr
265,0,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
266,0,2,male,36.0,0,0,10.5,Unknown,S,1,Mr
267,0,3,male,16.0,4,1,39.6875,Unknown,S,6,Mr
268,1,3,male,25.0,1,0,7.775,Unknown,S,2,Mr
269,1,1,female,58.0,0,1,153.4625,C125,S,2,Mrs
270,1,1,female,35.0,0,0,135.6333,C99,S,1,Miss
271,0,1,male,28.0,0,0,31.0,Unknown,S,1,Mr
272,1,3,male,25.0,0,0,0.0,Unknown,S,1,Mr
273,1,2,female,41.0,0,1,19.5,Unknown,S,2,Mrs
274,0,1,male,37.0,0,1,29.7,C118,C,2,Mr
275,1,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
276,1,1,female,63.0,1,0,77.9583,D7,S,2,Miss
277,0,3,female,45.0,0,0,7.75,Unknown,S,1,Miss
278,0,2,male,28.0,0,0,0.0,Unknown,S,1,Mr
279,0,3,male,7.0,4,1,29.125,Unknown,Q,6,Master
280,1,3,female,35.0,1,1,20.25,Unknown,S,3,Mrs
281,0,3,male,65.0,0,0,7.75,Unknown,Q,1,Mr
282,0,3,male,28.0,0,0,7.8542,Unknown,S,1,Mr
283,0,3,male,16.0,0,0,9.5,Unknown,S,1,Mr
284,1,3,male,19.0,0,0,8.05,Unknown,S,1,Mr
285,0,1,male,28.0,0,0,26.0,A19,S,1,Mr
286,0,3,male,33.0,0,0,8.6625,Unknown,C,1,Mr
287,1,3,male,30.0,0,0,9.5,Unknown,S,1,Mr
288,0,3,male,22.0,0,0,7.8958,Unknown,S,1,Mr
289,1,2,male,42.0,0,0,13.0,Unknown,S,1,Mr
290,1,3,female,22.0,0,0,7.75,Unknown,Q,1,Miss
291,1,1,female,26.0,0,0,78.85,Unknown,S,1,Miss
292,1,1,female,19.0,1,0,91.0792,B49,C,2,Mrs
293,0,2,male,36.0,0,0,12.875,D,C,1,Mr
294,0,3,female,24.0,0,0,8.85,Unknown,S,1,Miss
295,0,3,male,24.0,0,0,7.8958,Unknown,S,1,Mr
296,0,1,male,28.0,0,0,27.7208,Unknown,C,1,Mr
297,0,3,male,23.5,0,0,7.2292,Unknown,C,1,Mr
298,0,1,female,2.0,1,2,151.55,C22 C26,S,4,Miss
299,1,1,male,28.0,0,0,30.5,C106,S,1,Mr
300,1,1,female,50.0,0,1,247.5208,B58 B60,C,2,Mrs
301,1,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
302,1,3,male,28.0,2,0,23.25,Unknown,Q,3,Mr
303,0,3,male,19.0,0,0,0.0,Unknown,S,1,Mr
304,1,2,female,28.0,0,0,12.35,E101,Q,1,Miss
305,0,3,male,28.0,0,0,8.05,Unknown,S,1,Mr
306,1,1,male,0.92,1,2,151.55,C22 C26,S,4,Master
307,1,1,female,28.0,0,0,110.8833,Unknown,C,1,Miss
308,1,1,female,17.0,1,0,108.9,C65,C,2,Mrs
309,0,2,male,30.0,1,0,24.0,Unknown,C,2,Mr
310,1,1,female,30.0,0,0,56.9292,E36,C,1,Miss
311,1,1,female,24.0,0,0,83.1583,C54,C,1,Miss
312,1,1,female,18.0,2,2,262.375,B57 B59 B63 B66,C,5,Miss
313,0,2,female,26.0,1,1,26.0,Unknown,S,3,Mrs
314,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
315,0,2,male,43.0,1,1,26.25,Unknown,S,3,Mr
316,1,3,female,26.0,0,0,7.8542,Unknown,S,1,Miss
317,1,2,female,24.0,1,0,26.0,Unknown,S,2,Mrs
318,0,2,male,54.0,0,0,14.0,Unknown,S,1,Officer
319,1,1,female,31.0,0,2,164.8667,C7,S,3,Miss
320,1,1,female,40.0,1,1,134.5,E34,C,3,Mrs
321,0,3,male,22.0,0,0,7.25,Unknown,S,1,Mr
322,0,3,male,27.0,0,0,7.8958,Unknown,S,1,Mr
323,1,2,female,30.0,0,0,12.35,Unknown,Q,1,Miss
324,1,2,female,22.0,1,1,29.0,Unknown,S,3,Mrs
325,0,3,male,28.0,8,2,69.55,Unknown,S,11,Mr
326,1,1,female,36.0,0,0,135.6333,C32,C,1,Miss
327,0,3,male,61.0,0,0,6.2375,Unknown,S,1,Mr
328,1,2,female,36.0,0,0,13.0,D,S,1,Mrs
329,1,3,female,31.0,1,1,20.525,Unknown,S,3,Mrs
330,1,1,female,16.0,0,1,57.9792,B18,C,2,Miss
331,1,3,female,28.0,2,0,23.25,Unknown,Q,3,Miss
332,0,1,male,45.5,0,0,28.5,C124,S,1,Mr
333,0,1,male,38.0,0,1,153.4625,C91,S,2,Mr
334,0,3,male,16.0,2,0,18.0,Unknown,S,3,Mr
335,1,1,female,28.0,1,0,133.65,Unknown,S,2,Mrs
336,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
337,0,1,male,29.0,1,0,66.6,C2,S,2,Mr
338,1,1,female,41.0,0,0,134.5,E40,C,1,Miss
339,1,3,male,45.0,0,0,8.05,Unknown,S,1,Mr
340,0,1,male,45.0,0,0,35.5,T,S,1,Mr
341,1,2,male,2.0,1,1,26.0,F2,S,3,Master
342,1,1,female,24.0,3,2,263.0,C23 C25 C27,S,6,Miss
343,0,2,male,28.0,0,0,13.0,Unknown,S,1,Mr
344,0,2,male,25.0,0,0,13.0,Unknown,S,1,Mr
345,0,2,male,36.0,0,0,13.0,Unknown,S,1,Mr
346,1,2,female,24.0,0,0,13.0,F33,S,1,Miss
347,1,2,female,40.0,0,0,13.0,Unknown,S,1,Miss
348,1,3,female,28.0,1,0,16.1,Unknown,S,2,Mrs
349,1,3,male,3.0,1,1,15.9,Unknown,S,3,Master
350,0,3,male,42.0,0,0,8.6625,Unknown,S,1,Mr
351,0,3,male,23.0,0,0,9.225,Unknown,S,1,Mr
352,0,1,male,28.0,0,0,35.0,C128,S,1,Mr
353,0,3,male,15.0,1,1,7.2292,Unknown,C,3,Mr
354,0,3,male,25.0,1,0,17.8,Unknown,S,2,Mr
355,0,3,male,28.0,0,0,7.225,Unknown,C,1,Mr
356,0,3,male,28.0,0,0,9.5,Unknown,S,1,Mr
357,1,1,female,22.0,0,1,55.0,E33,S,2,Miss
358,0,2,female,38.0,0,0,13.0,Unknown,S,1,Miss
359,1,3,female,28.0,0,0,7.8792,Unknown,Q,1,Miss
360,1,3,female,28.0,0,0,7.8792,Unknown,Q,1,Miss
361,0,3,male,40.0,1,4,27.9,Unknown,S,6,Mr
362,0,2,male,29.0,1,0,27.7208,Unknown,C,2,Mr
363,0,3,female,45.0,0,1,14.4542,Unknown,C,2,Mrs
364,0,3,male,35.0,0,0,7.05,Unknown,S,1,Mr
365,0,3,male,28.0,1,0,15.5,Unknown,Q,2,Mr
366,0,3,male,30.0,0,0,7.25,Unknown,S,1,Mr
367,1,1,female,60.0,1,0,75.25,D37,C,2,Mrs
368,1,3,female,28.0,0,0,7.2292,Unknown,C,1,Mrs
369,1,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
370,1,1,female,24.0,0,0,69.3,B35,C,1,Mrs
371,1,1,male,25.0,1,0,55.4417,E50,C,2,Mr
372,0,3,male,18.0,1,0,6.4958,Unknown,S,2,Mr
373,0,3,male,19.0,0,0,8.05,Unknown,S,1,Mr
374,0,1,male,22.0,0,0,135.6333,Unknown,C,1,Mr
375,0,3,female,3.0,3,1,21.075,Unknown,S,5,Miss
376,1,1,female,28.0,1,0,82.1708,Unknown,C,2,Mrs
377,1,3,female,22.0,0,0,7.25,Unknown,S,1,Miss
378,0,1,male,27.0,0,2,211.5,C82,C,3,Mr
379,0,3,male,20.0,0,0,4.0125,Unknown,C,1,Mr
380,0,3,male,19.0,0,0,7.775,Unknown,S,1,Mr
381,1,1,female,42.0,0,0,227.525,Unknown,C,1,Miss
382,1,3,female,1.0,0,2,15.7417,Unknown,C,3,Miss
383,0,3,male,32.0,0,0,7.925,Unknown,S,1,Mr
384,1,1,female,35.0,1,0,52.0,Unknown,S,2,Mrs
385,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
386,0,2,male,18.0,0,0,73.5,Unknown,S,1,Mr
387,0,3,male,1.0,5,2,46.9,Unknown,S,8,Master
388,1,2,female,36.0,0,0,13.0,Unknown,S,1,Miss
389,0,3,male,28.0,0,0,7.7292,Unknown,Q,1,Mr
390,1,2,female,17.0,0,0,12.0,Unknown,C,1,Miss
391,1,1,male,36.0,1,2,120.0,B96 B98,S,4,Mr
392,1,3,male,21.0,0,0,7.7958,Unknown,S,1,Mr
393,0,3,male,28.0,2,0,7.925,Unknown,S,3,Mr
394,1,1,female,23.0,1,0,113.275,D36,C,2,Miss
395,1,3,female,24.0,0,2,16.7,G6,S,3,Mrs
396,0,3,male,22.0,0,0,7.7958,Unknown,S,1,Mr
397,0,3,female,31.0,0,0,7.8542,Unknown,S,1,Miss
398,0,2,male,46.0,0,0,26.0,Unknown,S,1,Mr
399,0,2,male,23.0,0,0,10.5,Unknown,S,1,Officer
400,1,2,female,28.0,0,0,12.65,Unknown,S,1,Mrs
401,1,3,male,39.0,0,0,7.925,Unknown,S,1,Mr
402,0,3,male,26.0,0,0,8.05,Unknown,S,1,Mr
403,0,3,female,21.0,1,0,9.825,Unknown,S,2,Miss
404,0,3,male,28.0,1,0,15.85,Unknown,S,2,Mr
405,0,3,female,20.0,0,0,8.6625,Unknown,S,1,Miss
406,0,2,male,34.0,1,0,21.0,Unknown,S,2,Mr
407,0,3,male,51.0,0,0,7.75,Unknown,S,1,Mr
408,1,2,male,3.0,1,1,18.75,Unknown,S,3,Master
409,0,3,male,21.0,0,0,7.775,Unknown,S,1,Mr
410,0,3,female,28.0,3,1,25.4667,Unknown,S,5,Miss
411,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
412,0,3,male,28.0,0,0,6.8583,Unknown,Q,1,Mr
413,1,1,female,33.0,1,0,90.0,C78,Q,2,Miss
414,0,2,male,28.0,0,0,0.0,Unknown,S,1,Mr
415,1,3,male,44.0,0,0,7.925,Unknown,S,1,Mr
416,0,3,female,28.0,0,0,8.05,Unknown,S,1,Mrs
417,1,2,female,34.0,1,1,32.5,Unknown,S,3,Mrs
418,1,2,female,18.0,0,2,13.0,Unknown,S,3,Miss
